[[{'label': 'negative', 'score': 0.013476000167429447}, {'label': 'neutral', 'score': 0.4485049843788147}, {'label': 'positive', 'score': 0.538019061088562}]]
[[{'label': 'negative', 'score': 0.3329748511314392}, {'label': 'neutral', 'score': 0.5830138325691223}, {'label': 'positive', 'score': 0.08401129394769669}]]
[[{'label': 'negative', 'score': 0.09597214311361313}, {'label': 'neutral', 'score': 0.4129842519760132}, {'label': 'positive', 'score': 0.4910435974597931}]]
[[{'label': 'negative', 'score': 0.43859437108039856}, {'label': 'neutral', 'score': 0.5233275890350342}, {'label': 'positive', 'score': 0.03807803615927696}]]
[[{'label': 'negative', 'score': 0.006946217268705368}, {'label': 'neutral', 'score': 0.14253559708595276}, {'label': 'positive', 'score': 0.8505181670188904}]]
[[{'label': 'negative', 'score': 0.749171793460846}, {'label': 'neutral', 'score': 0.2243064045906067}, {'label': 'positive', 'score': 0.026521746069192886}]]
[[{'label': 'negative', 'score': 0.9222630858421326}, {'label': 'neutral', 'score': 0.07080557197332382}, {'label': 'positive', 'score': 0.006931351963430643}]]
[[{'label': 'negative', 'score': 0.6475821733474731}, {'label': 'neutral', 'score': 0.26233363151550293}, {'label': 'positive', 'score': 0.09008418023586273}]]
[[{'label': 'negative', 'score': 0.015491916798055172}, {'label': 'neutral', 'score': 0.7420675158500671}, {'label': 'positive', 'score': 0.2424405813217163}]]
[[{'label': 'negative', 'score': 0.0035108288284391165}, {'label': 'neutral', 'score': 0.026999903842806816}, {'label': 'positive', 'score': 0.9694892764091492}]]
[[{'label': 'negative', 'score': 0.5083820223808289}, {'label': 'neutral', 'score': 0.4622798264026642}, {'label': 'positive', 'score': 0.029338188469409943}]]
[[{'label': 'negative', 'score': 0.022769559174776077}, {'label': 'neutral', 'score': 0.15994442999362946}, {'label': 'positive', 'score': 0.8172860145568848}]]
[[{'label': 'negative', 'score': 0.10541842132806778}, {'label': 'neutral', 'score': 0.739866316318512}, {'label': 'positive', 'score': 0.15471525490283966}]]
[[{'label': 'negative', 'score': 0.14298015832901}, {'label': 'neutral', 'score': 0.6879223585128784}, {'label': 'positive', 'score': 0.16909748315811157}]]
[[{'label': 'negative', 'score': 0.9486519694328308}, {'label': 'neutral', 'score': 0.042298562824726105}, {'label': 'positive', 'score': 0.009049458429217339}]]
[[{'label': 'negative', 'score': 0.007767159026116133}, {'label': 'neutral', 'score': 0.10103622823953629}, {'label': 'positive', 'score': 0.891196608543396}]]
[[{'label': 'negative', 'score': 0.9303374290466309}, {'label': 'neutral', 'score': 0.05923634022474289}, {'label': 'positive', 'score': 0.010426253080368042}]]
[[{'label': 'negative', 'score': 0.08524379879236221}, {'label': 'neutral', 'score': 0.8482041954994202}, {'label': 'positive', 'score': 0.06655201315879822}]]
[[{'label': 'negative', 'score': 0.9017407298088074}, {'label': 'neutral', 'score': 0.09019367396831512}, {'label': 'positive', 'score': 0.00806561391800642}]]
[[{'label': 'negative', 'score': 0.19602657854557037}, {'label': 'neutral', 'score': 0.7164854407310486}, {'label': 'positive', 'score': 0.08748801797628403}]]
[[{'label': 'negative', 'score': 0.020857224240899086}, {'label': 'neutral', 'score': 0.580738365650177}, {'label': 'positive', 'score': 0.39840438961982727}]]
[[{'label': 'negative', 'score': 0.6774643063545227}, {'label': 'neutral', 'score': 0.2922975718975067}, {'label': 'positive', 'score': 0.030238155275583267}]]
[[{'label': 'negative', 'score': 0.0051349797286093235}, {'label': 'neutral', 'score': 0.016168806701898575}, {'label': 'positive', 'score': 0.9786962270736694}]]
[[{'label': 'negative', 'score': 0.8612387776374817}, {'label': 'neutral', 'score': 0.13289901614189148}, {'label': 'positive', 'score': 0.005862209480255842}]]
[[{'label': 'negative', 'score': 0.9317737221717834}, {'label': 'neutral', 'score': 0.06166628375649452}, {'label': 'positive', 'score': 0.0065599652007222176}]]
[[{'label': 'negative', 'score': 0.6384437680244446}, {'label': 'neutral', 'score': 0.34617093205451965}, {'label': 'positive', 'score': 0.015385223552584648}]]
[[{'label': 'negative', 'score': 0.011659204959869385}, {'label': 'neutral', 'score': 0.12738864123821259}, {'label': 'positive', 'score': 0.8609521389007568}]]
[[{'label': 'negative', 'score': 0.08332350105047226}, {'label': 'neutral', 'score': 0.7998349070549011}, {'label': 'positive', 'score': 0.11684149503707886}]]
[[{'label': 'negative', 'score': 0.00412502558901906}, {'label': 'neutral', 'score': 0.05088869482278824}, {'label': 'positive', 'score': 0.9449862241744995}]]
